"Feature","GSM468603.CEL.x","GSM468604.CEL.x","GSM468621.CEL.x","GSM468605.CEL","GSM468607.CEL","GSM468609.CEL.x","GSM468610.CEL.x","GSM468611.CEL.x","GSM468622.CEL.x","GSM468612.CEL","GSM468615.CEL.x","GSM468616.CEL.x","GSM468623.CEL.x","GSM468617.CEL","GSM468618.CEL","GSM468606.CEL","GSM468608.CEL","GSM468613.CEL","GSM468614.CEL","GSM468619.CEL","GSM468620.CEL"
"COQ8A",6.465464273,6.536888776,6.536888776,6.442379868,6.297606737,6.342426816,6.563162128,6.483471655,6.587226815,6.329746134,6.192758478,6.298595745,6.677554252,6.214949982,5.70494195,6.624859008,6.681850162,6.315475005,6.560903115,6.402130825,6.11029038
"CTNNBIP1",7.219231154,7.321885257,7.707371962,7.550171442,7.950896979,7.203038471,7.241057897,7.550457141,7.760462807,7.933575166,7.023716434,6.94721351,7.099720288,7.155523794,7.316407863,7.764354999,7.597406337,7.469526665,7.523777354,7.499860702,7.427536646
"ADAMTS9",4.747454637,4.138717191,4.124012922,5.280702346,6.015076191,7.120308379,7.629792345,7.035566211,7.059371943,7.484335619,5.477361518,4.441986754,4.995528525,5.81797696,5.733111166,4.380076086,4.192077249,7.375203577,7.681589665,5.704506632,5.095431991
"SDHAF3",5.032946846,5.180779322,4.764952302,4.841819295,5.622619702,5.142387213,4.985103336,4.85593189,4.985103336,5.440880266,4.871555614,4.637043492,4.776466187,4.741499729,5.351289169,5.059289589,5.38296918,5.114947518,5.752415659,5.057785606,5.159120065
"YAE1",7.593405971,7.491130286,7.580455631,7.460046462,7.490251409,7.281087192,7.394385861,7.277895603,7.432001768,7.132388253,7.692768091,7.768076032,7.704041319,7.547643362,7.537089207,7.660858123,7.618620096,7.451786736,7.6264794,7.871934034,7.655072413
"CCDC47",9.165922593,8.954056022,8.765022095,9.287300024,9.436702762,9.158193587,8.9062562,9.294200419,8.720161877,9.429951969,9.002720152,9.012031063,9.10609043,9.304638815,9.579381312,9.160011274,8.924154771,8.944497374,8.998427839,9.286484465,9.137605866
"ACKR3",6.780759423,8.58206156,6.830891596,7.687590763,9.11188571,9.030575462,10.54949777,8.766283125,9.397703184,9.882447596,6.683687544,7.719258149,7.183739454,7.21062783,8.859048092,8.935115237,9.831055787,10.53561318,11.29605757,8.556239448,10.22599049
"CABP4",5.670150828,5.616825301,5.719820906,5.808656993,5.584685518,5.756651811,5.743626865,5.643013611,5.664462839,5.499544716,5.93242708,5.689976449,5.696192041,5.462162503,5.63977591,5.778285877,5.58665374,5.742841938,5.409785727,5.521021633,5.605556549
"AKR1B10",4.55702486,3.527809332,3.853988673,4.399813386,3.817511314,4.29508875,3.747989951,4.240983126,3.504475216,3.860100489,4.325574605,3.819159491,3.650909764,3.985199959,3.860100489,3.997721113,3.463184747,4.226194203,3.328451589,3.890928283,3.605671193
"COQ9",9.036511091,9.330697725,9.123831264,8.8160162,8.934831729,8.981947836,9.13174913,8.659930043,9.202757892,8.862507899,8.985982721,9.132062265,9.135652986,8.798984512,8.791926496,9.126016424,9.362062161,8.931954143,9.220558178,9.019285219,9.074793129
