"Feature","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"LINC00898",6.718000902,6.521700788,6.206869446,6.467094113,6.361545874,6.573551763,6.718000902,6.521700788,6.206869446,6.467094113,6.361545874,6.573551763
"IL17REL",7.904024208,8.126241138,7.7035673,7.843347725,7.824492559,7.837936505,7.904024208,8.126241138,7.7035673,7.843347725,7.824492559,7.837936505
"LOC400940",5.506799362,5.580464317,5.062490233,5.482843626,5.244297283,5.376977478,5.506799362,5.580464317,5.062490233,5.482843626,5.244297283,5.376977478
"LINC00487",5.893393633,5.795412366,5.534774169,6.094723495,5.765909187,5.976178955,5.893393633,5.795412366,5.534774169,6.094723495,5.765909187,5.976178955
"LINC01121",5.188827466,4.938225607,5.004686735,5.346194073,5.052421338,5.320158575,5.188827466,4.938225607,5.004686735,5.346194073,5.052421338,5.320158575
"ACOXL-AS1",6.114611706,6.427658835,6.226495116,6.374239585,5.941902413,6.346252813,6.114611706,6.427658835,6.226495116,6.374239585,5.941902413,6.346252813
"PHOX2A",7.653508352,7.708863728,7.423536253,7.551559156,7.499065731,7.47425265,7.653508352,7.708863728,7.423536253,7.551559156,7.499065731,7.47425265
"LMX1B",7.760262206,7.740032588,7.242542198,7.676026491,7.523558972,7.411293299,7.760262206,7.740032588,7.242542198,7.676026491,7.523558972,7.411293299
"FSIP2",3.786755594,3.850625146,3.989359294,3.791072238,3.826789695,3.996849137,3.786755594,3.850625146,3.989359294,3.791072238,3.826789695,3.996849137
"ASB18",7.745825933,7.757874983,7.642188018,7.736044086,7.708191856,7.823350425,7.745825933,7.757874983,7.642188018,7.736044086,7.708191856,7.823350425
"LINC02991",6.044206189,6.150395123,5.9830741,6.043601003,5.974379255,6.20346274,6.044206189,6.150395123,5.9830741,6.043601003,5.974379255,6.20346274
"FLJ42393",7.45235282,7.299345698,7.835578118,7.031606807,7.404815481,7.749243837,7.45235282,7.299345698,7.835578118,7.031606807,7.404815481,7.749243837
"LINC00885",5.986004043,6.086712456,6.020823531,6.033958552,5.79843909,6.035813913,5.986004043,6.086712456,6.020823531,6.033958552,5.79843909,6.035813913
"WDR5CP",8.724321657,8.647782268,8.571838757,8.728112984,8.54069623,8.535031639,8.724321657,8.647782268,8.571838757,8.728112984,8.54069623,8.535031639
"PRR27",5.957636631,6.134257517,5.967163609,6.298150978,5.795218092,6.236907699,5.957636631,6.134257517,5.967163609,6.298150978,5.795218092,6.236907699
"AMTN",3.794756281,3.057805064,3.508591766,3.693779155,3.346524002,3.769698633,3.794756281,3.057805064,3.508591766,3.693779155,3.346524002,3.769698633
"CCSER1",5.201834483,5.387829306,5.473719866,5.307751419,5.195248618,5.369537423,5.201834483,5.387829306,5.473719866,5.307751419,5.195248618,5.369537423
"C4orf3",8.100207771,7.777931226,8.832754617,9.317307378,9.160789489,8.483827474,8.100207771,7.777931226,8.832754617,9.317307378,9.160789489,8.483827474
"LINC02145",5.801983671,5.882091254,5.152925926,6.444893658,5.390624846,5.758287399,5.801983671,5.882091254,5.152925926,6.444893658,5.390624846,5.758287399
"LOC401191",5.814425804,6.293285435,5.520170786,6.434820347,5.817233342,5.633830312,5.814425804,6.293285435,5.520170786,6.434820347,5.817233342,5.633830312
"LNPEP",10.3961194,10.1563746,10.59506884,10.65133227,10.73592323,10.52615504,10.3961194,10.1563746,10.59506884,10.65133227,10.73592323,10.52615504
"LINC01011",7.84103128,7.822337657,7.591081136,7.670077915,7.691523854,7.641095371,7.84103128,7.822337657,7.591081136,7.670077915,7.691523854,7.641095371
"LINC00243",6.45375174,6.162069922,6.377219,6.34873785,6.060546227,6.318954142,6.45375174,6.162069922,6.377219,6.34873785,6.060546227,6.318954142
"LINC00336",7.35621047,7.507068194,7.175005082,7.564434085,7.15467412,7.464807383,7.35621047,7.507068194,7.175005082,7.564434085,7.15467412,7.464807383
"RAB44",6.83503595,6.995657761,6.556824171,6.924434026,6.768557207,7.038066751,6.83503595,6.995657761,6.556824171,6.924434026,6.768557207,7.038066751
"LINC00951",6.053889891,5.856981526,5.843503525,5.763448207,6.030146143,5.881606087,6.053889891,5.856981526,5.843503525,5.763448207,6.030146143,5.881606087
"LOC401261",7.26772433,7.76794763,7.612999216,7.694167948,7.548042902,7.749414894,7.26772433,7.76794763,7.612999216,7.694167948,7.548042902,7.749414894
"CRIP3",7.906606835,7.9543699,7.390404316,7.883065718,7.698386722,7.941774624,7.906606835,7.9543699,7.390404316,7.883065718,7.698386722,7.941774624
"KLHL31",5.741714552,5.696027748,5.247045056,5.768111875,5.554279007,5.497282431,5.741714552,5.696027748,5.247045056,5.768111875,5.554279007,5.497282431
"LINC00242",5.572968837,5.591701694,4.888109291,5.53561936,4.932461928,5.220159169,5.572968837,5.591701694,4.888109291,5.53561936,4.932461928,5.220159169
"LINC01446",5.750949141,5.650929916,5.875111439,5.718494886,5.677440211,5.798544157,5.750949141,5.650929916,5.875111439,5.718494886,5.677440211,5.798544157
"LORICRIN",8.01297447,7.962135891,7.66270796,7.827517067,7.85951369,7.804917151,8.01297447,7.962135891,7.66270796,7.827517067,7.85951369,7.804917151
"RBIS",10.82155384,10.74535184,10.71054282,10.70768682,10.77809137,10.62834306,10.82155384,10.74535184,10.71054282,10.70768682,10.77809137,10.62834306
"GASAL1",8.959778754,8.735843313,8.606485997,9.006805788,8.635557991,8.871758158,8.959778754,8.735843313,8.606485997,9.006805788,8.635557991,8.871758158
"SAMD12",6.530921497,6.965496776,6.94396711,6.488174053,6.464342014,6.497415472,6.530921497,6.965496776,6.94396711,6.488174053,6.464342014,6.497415472
"TMEM215",6.686567631,6.623818146,6.370875263,6.690147672,6.436639512,6.518370629,6.686567631,6.623818146,6.370875263,6.690147672,6.436639512,6.518370629
"LOX",11.67219725,11.41270256,11.31538339,11.93012283,11.67344008,11.62235529,11.67219725,11.41270256,11.31538339,11.93012283,11.67344008,11.62235529
"LINC02872",7.554949408,7.499810724,7.57958071,7.455812127,7.637346197,7.436160577,7.554949408,7.499810724,7.57958071,7.455812127,7.637346197,7.436160577
"CENPP",8.9372093,8.443051235,8.848408371,9.000987512,8.280320171,8.780781504,8.9372093,8.443051235,8.848408371,9.000987512,8.280320171,8.780781504
"GPRACR",6.971278926,7.15965926,6.90090211,6.90939686,7.047306369,7.079655959,6.971278926,7.15965926,6.90090211,6.90939686,7.047306369,7.079655959
"LCNL1",7.799523419,8.162045479,7.758848937,7.867927505,7.749002341,7.94823824,7.799523419,8.162045479,7.758848937,7.867927505,7.749002341,7.94823824
"LINC02908",7.834575529,7.992526994,7.691630195,7.88386556,7.941512668,8.045184461,7.834575529,7.992526994,7.691630195,7.88386556,7.941512668,8.045184461
"CIMIP2A",7.137275953,7.417002363,6.91037,7.129360302,6.964967383,7.082475952,7.137275953,7.417002363,6.91037,7.129360302,6.964967383,7.082475952
"LOXL1",10.3394048,10.50441206,10.06351784,10.01906543,10.05003009,9.905562998,10.3394048,10.50441206,10.06351784,10.01906543,10.05003009,9.905562998
"OR51T1",6.315442816,6.544345532,6.030357181,5.991703344,6.719126537,5.898999749,6.315442816,6.544345532,6.030357181,5.991703344,6.719126537,5.898999749
"OR51A2",4.871880775,4.642292457,4.493331573,4.699799374,4.649900895,4.727059423,4.871880775,4.642292457,4.493331573,4.699799374,4.649900895,4.727059423
"LOXL2",12.44799018,12.30703654,12.1967426,12.48370277,12.51890884,12.39524433,12.44799018,12.30703654,12.1967426,12.48370277,12.51890884,12.39524433
"SRRD",9.457558988,9.75387208,9.740682147,9.643899517,9.607893191,9.437753279,9.457558988,9.75387208,9.740682147,9.643899517,9.607893191,9.437753279
"OR5K2",3.76092272,3.971331085,4.357254018,4.436488967,3.904131469,4.257993336,3.76092272,3.971331085,4.357254018,4.436488967,3.904131469,4.257993336
"RPL21P44",6.117340466,6.35193077,6.55258265,6.123023226,6.348769562,6.524644028,6.117340466,6.35193077,6.55258265,6.123023226,6.348769562,6.524644028
"LPL",5.525666555,5.464694063,5.317212933,5.631981803,5.439824462,5.516616797,5.525666555,5.464694063,5.317212933,5.631981803,5.439824462,5.516616797
"XKRX",5.061761141,5.156099319,5.105193357,5.262571826,5.067250528,5.028681654,5.061761141,5.156099319,5.105193357,5.262571826,5.067250528,5.028681654
"SPACDR",8.059368916,8.255152866,8.136839494,8.218497635,8.183730317,8.142325352,8.059368916,8.255152866,8.136839494,8.218497635,8.183730317,8.142325352
"UFSP1",7.830915425,7.850037101,7.1673226,7.750605807,7.802095386,7.802819363,7.830915425,7.850037101,7.1673226,7.750605807,7.802095386,7.802819363
"ARL3",6.667759528,6.745464085,6.782971381,6.717540305,6.642771759,6.36544514,6.667759528,6.745464085,6.782971381,6.717540305,6.642771759,6.36544514
"IRAG2",4.128585765,4.166452078,4.024265114,4.010067321,3.982851626,4.091954973,4.128585765,4.166452078,4.024265114,4.010067321,3.982851626,4.091954973
"LOC403312",6.718647919,6.629028192,6.390591548,6.512510161,6.539743672,6.622964637,6.718647919,6.629028192,6.390591548,6.512510161,6.539743672,6.622964637
"PLPP6",8.028390104,8.347910608,8.369496304,8.239469659,8.124070008,8.313634057,8.028390104,8.347910608,8.369496304,8.239469659,8.124070008,8.313634057
"APOBEC4",4.451493088,4.571588942,4.210244997,4.488966974,4.395803684,4.48109134,4.451493088,4.571588942,4.210244997,4.488966974,4.395803684,4.48109134
"CIBAR1P2",5.271320356,5.242665312,5.256062237,5.230260758,5.128661365,5.211707764,5.271320356,5.242665312,5.256062237,5.230260758,5.128661365,5.211707764
"ZBTB34",7.858033537,8.00606435,8.263231038,8.245170727,8.601789876,8.304733148,7.858033537,8.00606435,8.263231038,8.245170727,8.601789876,8.304733148
