"Feature","X_9444360021_A","X_9444360021_B","X_9444360021_C","X_9444360021_D","X_9444360021_E","X_9444360021_F","X_9444360021_G","X_9444360021_H","X_9444360021_I","X_9444360021_J","X_9444360021_K","X_9444360021_L","X_9444360049_A","X_9444360049_B","X_9444360049_C","X_9444360049_D","X_9444360049_E","X_9444360049_F","X_9444360049_G","X_9444360049_H","X_9444360049_I","X_9444360049_J","X_9444360049_K","X_9444360049_L"
"A4GNT",4.32244591519176,4.48690156487076,4.36868047194538,4.32418338776018,4.45247214416607,4.55876157334806,4.35269240889148,4.34111060982737,4.53512575388408,4.41889453130046,4.49335838654823,4.57910585530698,4.51471641064537,4.64445405273016,4.36785473130622,4.34554541455124,4.64216923430298,4.61745638003289,4.54551335313366,4.46604688328374,4.51101690812807,4.46915987124983,4.5173992419319,4.52719587714634
"NPSR1-AS1",4.26781209017222,4.27097015129298,4.54708622612563,4.23766993124696,4.30385029617074,4.45588836097629,4.57600086765297,4.2502674511267,4.38989201172219,4.37264000168511,4.52143479724378,4.29584279668808,4.29096767844433,4.41020764483803,4.73360684931258,4.24628860966699,4.424599809718,4.28228727735871,4.44635436863142,4.53235601490779,4.51456932715957,4.6033522035098,4.59330192181317,4.29972802608562
"AAAS",5.30485263576511,5.03958057686388,5.35575409942415,5.66757792137709,5.62825647771236,5.78250052165605,5.18884187948437,5.22858826313521,5.29807795607398,6.00585299945735,5.75843888703708,5.798465534932,5.35009493798255,5.59612096159076,5.56452433902778,5.42934313761669,5.59307318595193,5.86583036988275,5.40940221813099,5.09595379609237,5.2277892424228,5.73470309019443,5.79473447910604,5.64493102518358
"AACS",6.25337020561649,6.05509638680507,6.43909961859688,5.76597027744647,6.09754425241577,5.91168578492098,6.40403752422479,6.08944535608556,6.26717229645216,5.55215074918122,5.82627750227743,5.52211881661282,6.03424341070055,5.55157414213672,6.08076796669676,5.61470308863642,5.66994125521845,5.65606050037366,5.49705009365927,5.85111831811427,5.76597027744647,5.62204505380953,5.56820317070155,5.74594789237068
"AADAC",4.47782056305646,4.31120718087147,4.43076051938079,4.46957352183442,4.53729834550924,5.04708022297086,5.19970875003073,5.32289257845884,5.47025142891101,6.57383284175296,6.63256765180959,6.48448336927647,4.47878079046063,4.60639195666091,4.40822559708961,4.89229351479592,4.47229669720573,4.44726008875279,4.53837808803078,4.5428623887722,4.58141222674143,4.96006393882635,4.56797609911733,4.834676257533
"NCEH1",7.68555014657115,7.76357042134078,7.80619895977177,9.42222197793641,9.30580946112602,9.51416288755922,8.77982113821525,8.7174328398425,8.78442957603002,9.68711276895713,9.74781144920148,9.73238610294901,8.51206457723774,8.65139470833995,8.63819366366211,9.81792926181132,9.66382448563335,9.66999185122054,8.56843027388651,8.74900262767906,8.86557788470496,9.58601049986826,9.53833398615363,9.54125751322916
"AADACL2",4.41625794767106,4.52341588193022,4.35166633133297,4.31788233215478,4.2365633300505,4.25515140689115,4.31183369856182,4.32348274422112,4.59231248688183,4.3163608093355,4.51412402512108,4.43779005116983,4.36022249185308,4.3279715861564,4.33300377417783,4.3409200225141,4.48790174822122,4.35006051823026,4.32682342492842,4.49314444883312,4.52415603162768,4.38363015783833,4.36002009709588,4.2429233186944
"AADACL3",4.21771446506199,4.35752028028225,4.26145919717187,4.53375305129753,4.49207676165582,4.32019855754806,4.31183369856182,4.37739190157906,4.50368321756042,4.34583222512517,4.36233743217503,4.3897775071799,4.27560241520836,4.3631500115044,4.33074562221201,4.35722609728336,4.87740233970335,4.31208629533674,4.22054810496837,4.36002009709588,4.57797586648313,4.35921980178233,4.3648800098439,4.4217965446018
"AADACL4",4.93108514542705,4.7726134636868,4.72859860565317,5.08079236617787,4.55891654110971,4.27130620545863,4.3482282937106,4.20146526327733,4.33601467743137,4.31814355642352,4.2597975493354,4.46985202625622,4.33573881915626,4.28798408307633,4.57797586648313,4.22752353210734,4.46888374682077,4.23789207315973,4.31298876716653,4.33628712841294,4.33813456678812,4.22987754849577,4.26941816464194,4.27171421247462
"AADAT",4.33137455408007,4.53512575388408,4.55084598274127,4.44972689626474,4.39322841287292,4.28723999439173,4.26158627638728,4.34760517004261,4.37059814623355,4.5309927953547,4.3200228412582,4.38243930647462,4.35318278219576,4.3279715861564,4.33074562221201,4.34317624873451,4.38724393290826,4.47969392995165,4.5201053954904,4.37264000168511,4.5173992419319,4.52598002404548,4.55955124437336,4.834676257533
"AAGAB",7.48874200367677,7.66506766542027,7.54951008848424,7.74575671981384,7.97828006345647,7.86433943433906,7.27999516895962,7.14099766842837,6.94639176010695,7.30662915732443,7.58436569844739,7.44559918614671,7.18726718946433,7.0896244655611,7.12661594461297,7.66159825269641,7.51016883682291,7.68925378275866,7.23923818618046,7.6047676235446,7.45765249420112,7.49901343859204,7.7142438558465,7.70929758518522
"AAK1",7.67635210165133,7.56855602641218,7.5934204415743,6.88014173632618,6.8478895115804,6.72439686075854,7.68555014657115,7.61596496850135,7.43052022240744,6.73490388245862,6.75020126745626,6.82118626002353,7.90656349618292,8.22365869068657,7.79371010390882,6.87694876676275,7.00716475076925,6.91443207230303,8.03424740439847,7.91205205943916,8.20374445398236,6.9698154018839,6.97985110240039,7.18602928294175
"AAMP",6.94104476620008,7.28705597500884,6.98951002176289,7.21366894973038,7.33951385233105,7.24620386934527,7.15597525767437,7.10313224886494,7.01615558258806,7.31129201163853,7.26820831319244,7.19364617324679,6.90656204176114,7.31280514538362,7.01998178492892,7.4471845676708,7.60940783768733,7.4341570490958,7.00774875854671,7.07610039275501,7.12353695996785,7.39424623642358,7.36668437067394,7.24661955525955
