"Feature","HUVEC_scr_siRNA_1.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL"
"KCNMB2-AS1",2.519283386,2.413566382,2.670078463,2.568189562,2.609721946,2.694797213,2.594064169,2.726923281,2.929908665,2.51002977,2.368510577,2.6045433
"ACE2-DT",3.427519678,3.552899955,3.841250204,3.595545009,3.638145512,3.532691035,3.57215727,3.451030293,3.575385911,3.384553356,3.737725796,3.654660562
"CEACAM5",3.551094756,3.619558272,3.779401587,3.282374898,3.441163074,3.393526753,3.837891212,3.747999438,3.439208956,3.42090126,3.301960371,3.629644354
"EIF3M",10.37094434,10.31994718,10.29301074,10.32721307,10.36095441,10.2738576,10.2189865,10.32179919,10.28410304,10.32620276,10.37601909,10.34679858
"HOXB13",4.48732149,4.364559132,4.252842766,4.433667571,4.123048737,4.022147945,4.044831577,4.297422308,4.334285126,4.150183538,4.202795048,4.182544815
"NXF1",9.259735961,9.076319309,9.224104373,9.232629497,9.21516418,8.978953779,9.353257239,9.24139775,9.169535949,9.149293662,9.116935284,9.152684586
"SEC23B",8.819778629,8.91115076,8.714884141,8.87511556,8.921359735,8.952447302,8.665264608,8.754803869,8.827338072,8.947704552,8.956611312,8.728207877
"SEC23A",9.553995257,9.716743809,9.608833707,9.62909332,9.647548037,9.753636109,9.438524654,9.467406269,9.367163041,9.555231081,9.540731385,9.493894289
"MIR9-1HG",4.437215748,4.447469669,4.048898869,4.18026993,3.916063619,3.813008469,4.166185304,3.928478436,4.297879021,4.131135219,4.226704445,4.131135219
"CAP2",7.759986506,7.790739095,7.864735713,7.616007996,7.830028605,7.726944847,7.688628473,7.69833241,7.739661579,7.753900282,7.948397393,7.840498129
"CAP1",11.65654016,11.52888403,11.48662897,11.52328697,11.62770785,11.6168824,11.33928606,11.32014643,11.34333541,11.60114818,11.61762735,11.62527175
"CREB3",9.324918647,9.45214906,9.302084131,9.343252229,9.387921954,9.372275973,9.428865406,9.385831502,9.405850796,9.378014633,9.362837586,9.355263733
"LRRC41",9.418132829,9.423117923,9.510459855,9.479692945,9.463199584,9.332862495,9.489315412,9.481594278,9.422392956,9.416302373,9.385020125,9.41798502
"VTI1B",8.87380623,8.52164563,8.541546763,8.479523014,8.649100883,8.557452864,8.805465516,8.884948651,8.90168754,8.546817705,8.943389792,8.86863843
"CRTAP",11.41550469,11.34014633,11.41207761,11.43468372,11.40171624,11.22933042,11.43560358,11.38563592,11.34512506,11.43541523,11.47038693,11.38841319
"SYNCRIP",10.65067194,10.39991004,10.35587543,10.40550145,10.58434533,10.56330645,10.37615929,10.3781015,10.47606925,10.52889301,10.68715288,10.70963008
"VAT1",10.6267979,10.72009668,10.59668671,10.61537276,10.59711663,10.51509066,10.64462512,10.5400278,10.50497886,10.6147021,10.55797191,10.49351218
"STK25",7.993881136,7.982194111,7.969345894,7.928686355,7.931982733,8.111961501,8.006421336,7.841312832,7.897430877,8.263890802,7.948649348,7.798459234
"ENOX2",7.295275649,7.228610275,7.166712416,7.114489536,7.302380976,7.304085654,7.320917768,7.424470926,7.42226923,7.238189748,7.276709374,7.311995377
"MYL12-AS1",2.934518461,3.084445737,3.318919117,3.237870357,3.123246189,2.672604477,3.052244863,3.438682905,3.296134688,3.594219524,3.425620049,2.956386945
"UNC13B",8.593817127,8.741519062,8.77383343,8.737204426,8.743287528,8.712864027,8.557068192,8.50174426,8.53983041,8.686353529,8.634054007,8.68443488
"CARM1",11.00089149,10.89861134,10.91182053,10.93606268,10.88073592,10.91273437,10.89287549,10.88011413,10.91790353,10.94356722,10.93724625,10.95318049
"NCOA2",7.077251089,7.311245515,7.340480224,7.25154879,7.216113165,7.37134795,7.317992684,7.383006836,7.359298111,7.146409893,7.052783392,7.152971514
