genes,aliases
JKAMP,"['Jun N-terminal kinase 1-associated membrane protein', 'HSPC213', 'JAMP', 'CDA06', 'chromosome 14 open reading frame 100', 'C14orf100', 'Medulloblastoma antigen MU-MB-50.4']"
JMJD1C,"['Probable JmjC domain-containing histone demethylation protein 2C', 'DKFZp761F0118', 'KIAA1380', 'FLJ14374', 'JHDM2C', 'Thyroid receptor-interacting protein 8', 'TRIP-8', 'EC 1.14.11.-']"
JMJD4,"['Jumonji domain-containing protein 4', 'FLJ12517', '2-oxoglutarate and iron-dependent oxygenase JMJD4', 'Lysyl-hydroxylase JMJD4', 'EC 1.14.11.-']"
JMJD6,"['jumonji domain containing 6, arginine demethylase and lysine hydroxylase', 'Protein PTDSR', 'KIAA0585', 'Peptide-lysine 5-dioxygenase JMJD6', 'PTDSR1', 'Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6', 'Phosphatidylserine receptor', 'EC 1.14.11.-']"
JMJD7,"['Jumonji domain-containing protein 7', 'Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7', 'EC 1.14.11.63']"
JMJD7-PLA2G4B,"['jumonji domain containing 7-phospholipase A2, group IVB (cytosolic) read-through', 'HsT16992', 'cPLA2-beta', 'JMJD7-PLA2G4B readthrough']"
JMJD8,"['Jumonji domain-containing protein 8', 'C16orf20', 'PP14397']"
JMY,"['junction mediating and regulatory protein, p53 cofactor', 'FLJ37870', 'WHAMM2', 'WHDC1L3', 'WAS protein homology region 2 domain containing 1-like 3']"
JOSD1,"['Josephin domain-containing protein 1', 'KIAA0063', 'dJ508I15.2', 'Josephin-1', 'EC 3.4.19.12']"
JOSD2,"['Josephin domain-containing protein 2', 'SBBI54', 'EC 3.4.19.12']"
JPH1,"['Junctophilin type 1', 'Junctophilin-1', 'CMT2K', 'JP-1']"
JPH2,"['Junctophilin type 2', 'Junctophilin-2', 'CMD2E', 'CMH17', 'JP-2']"
JPH3,"['Junctophilin type 3', 'Junctophilin-3', 'CAGL237', 'HDL2', 'JP-3', 'Trinucleotide repeat-containing gene 22 protein', 'TNRC22']"
JPH4,"['Junctophilin-like 1 protein', 'KIAA1831', 'JPHL1', 'junctophilin like 1', 'Junctophilin-4']"
JPT1,"['Jupiter microtubule associated homolog 1', 'ARM2', 'HN1A', 'Hematological and neurological expressed 1 protein']"
JPT2,"['Jupiter microtubule associated homolog 2', 'FLJ13092', 'L11', 'KIAA1426', 'chromosome 16 open reading frame 34', 'Hematological and neurological expressed 1-like protein', 'C16orf34', 'HN1 like', 'HN1-like protein']"
JRK,"['Jrk helix-turn-helix protein', 'JH8', 'jerky homolog', 'Jerky protein homolog']"
JRKL,"['Jerky protein homolog-like', 'HHMJG', 'Human homolog of mouse jerky gene protein']"
JSRP1,"['homolog of mouse skeletal muscle sarcoplasmic reticulum protein JP-45', 'JP-45', 'FLJ32416', '2310032K21Rik', 'skeletal muscle sarcoplasmic reticulum protein JP-45']"
JTB,"['Jumping translocation breakpoint protein', 'HJTB', 'PAR protein', 'HSPC222']"
JUN,"['Jun proto-oncogene, AP-1 transcription factor subunit', 'proto-oncogene cJun', 'AP-1', 'V-jun avian sarcoma virus 17 oncogene homolog', 'c-Jun', 'p39', 'Jun activation domain binding protein']"
JUNB,"['JunB proto-oncogene, AP-1 transcription factor subunit', 'AP-1', 'Transcription factor jun-B']"
JUND,"['JunD proto-oncogene, AP-1 transcription factor subunit', 'AP-1', 'jun D proto-oncogene', 'Transcription factor jun-D']"
JUP,"['Junction plakoglobin', 'DPIII', 'PDGB', 'Desmoplakin III', 'catenin (cadherin-associated protein), gamma 80kDa', 'Catenin gamma', 'desmosomal protein 3']"
KAAG1,"['Kidney-associated antigen 1', 'RU2AS', 'RU2 antisense gene protein']"
KALRN,"['kalirin RhoGEF kinase', 'Protein Duo', 'Hs.8004', 'DUET', 'Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain', 'CHDS5', 'HAPIP', 'EC 2.7.11.1']"
KANK1,"['KN motif and ankyrin repeat domain-containing protein 1', 'KIAA0172', 'ANKRD15', 'ankyrin repeat domain 15', 'CPSQ2']"
KANK2,"['KN motif and ankyrin repeat domain-containing protein 2', 'KIAA1518', 'Ankyrin repeat domain-containing protein 25', 'ankyrin repeat domain 25', 'MXRA3', 'NPHS16', 'PPKWH']"
KANK3,"['KN motif and ankyrin repeat domain-containing protein 3', 'FLJ46061', 'ankyrin repeat domain 47']"
KANK4,"['KN motif and ankyrin repeat domain-containing protein 4', 'KIAA0172', 'ankyrin repeat domain 38', 'dJ1078M7.1']"
KANSL1,"['KAT8 regulatory NSL complex subunit 1', 'DKFZP727C091', 'MSL1 homolog 1', 'centromere protein 36', 'hMSL1v1', 'NSL complex protein NSL1', 'KIAA1267', 'KDVS', 'male-specific lethal 1 homolog']"
KANSL1L,"['KAT8 regulatory NSL complex subunit 1-like protein', 'FLJ23861', 'MSL1v2', 'KIAA1267-like', 'chromosome 2 open reading frame 67', 'C2orf67', 'male-specific lethal 1 homolog']"
KANSL2,"['KAT8 regulatory NSL complex subunit 2', 'FLJ20436', 'NSL2', 'chromosome 12 open reading frame 41', 'C12orf41', 'Non-specific lethal 2 homolog']"
KANSL3,"['KAT8 regulatory NSL complex subunit 3', 'FLJ10081', 'PRTD', 'NSL3', 'KIAA1310', 'Non-specific lethal 3 homolog', 'Serum inhibited-related protein', 'SI1']"
KANTR,"['long intergenic non-protein coding RNA 1155', 'KDM5C adjacent non-coding transcript', 'LINC01155', 'lnc-KANTR-23', 'HSALNG0137988', 'NONHSAG054544.2']"
KARS1,"['lysyl-tRNA synthetase 1', 'KARS2', 'deafness, autosomal recessive 89', 'CMTRIB', 'DEAPLE', 'DFNB89', 'Lysine--tRNA ligase', 'KIAA0070', 'EC 2.7.7.-']"
KASH5,"['Coiled-coil domain-containing protein 155', 'FLJ32658', 'CCDC155', 'Protein KASH5']"
KAT14,"['Lysine acetyltransferase 14', 'CSRP2 binding protein', 'dJ717M23.1', 'PRO1194', 'ATAC2', 'Cysteine-rich protein 2-binding protein', 'ATAC component 2 homolog (Drosophila)', 'ADA2A-containing complex subunit 2']"
KAT2A,"['Histone glutaryltransferase KAT2A', 'GCN5L2', 'PCAF-b', 'GCN5 (general control of amino-acid synthesis, yeast, homolog)-like 2', 'STAF97', 'EC 2.3.1.48']"
KAT2B,"['Spermidine acetyltransferase KAT2B', 'P/CAF', 'GCN5L', 'P300/CBP-associated factor', 'EC 2.3.1.48']"
KAT5,"['Histone acetyltransferase HTATIP', 'HTATIP1', 'TIP60', 'cPLA2', 'ESA1', 'ZC2HC5', 'HIV-1 Tat interactive protein, 60kDa', 'NEDFASB', 'EC 2.3.1.48']"
KAT6A,"['MYST histone acetyltransferase (monocytic leukemia) 3', 'MOZ', 'ZC2HC6A', 'Runt-related transcription factor-binding protein 2', 'ARTHS', 'MRD32', 'MYST-3', 'RUNXBP2', 'Zinc finger protein 220', 'EC 2.3.1.48']"
KAT6B,"['MYST histone acetyltransferase (monocytic leukemia) 4', 'querkopf', 'MORF', 'ZC2HC6B', 'Monocytic leukemia zinc finger protein-related factor', 'GTPTS', 'MYST-4', 'MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4', 'KIAA0383', 'EC 2.3.1.48']"
KAT7,"['Histone acetyltransferase binding to ORC1', 'HBO1', 'ZC2HC7', 'MYST-2', 'MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2', 'EC 2.3.1.48']"
KAT8,"['probable histone acetyltransferase MYST1', 'hMOF', 'FLJ14040', 'ZC2HC8', 'LIGOWS', 'MYST-1', 'ortholog of Drosophila males absent on the first (MOF)', 'EC 2.3.1.48']"
KATNA1,"['katanin p60 (ATPase containing) subunit A 1', 'Katanin p60 subunit A1', 'EC 3.6.4.3']"
KATNAL1,"['Katanin p60 ATPase-containing subunit A-like 1', 'MGC2599', 'EC 3.6.4.3']"
KATNAL2,"['Katanin p60 ATPase-containing subunit A-like 2', 'MGC33211', 'DKFZP667C165', 'EC 3.6.4.3']"
KATNB1,"['katanin p80 (WD repeat containing) subunit B 1', 'p80 katanin', 'LIS6', 'Katanin p80 subunit B1']"
KATNBL1,"['katanin regulatory subunit B1 like 1', 'FLJ22557', 'chromosome 15 open reading frame 29', 'C15orf29']"
KATNIP,"['Katanin-interacting protein', 'JBTS26', 'KIAA0556']"
KAZALD1,"['novel kazal-type serine protease inhibitor domain and immunoglobulin domain containing protein', 'FKSG28', 'BONO1', 'IGFBP-related protein 10', 'Kazal-type serine protease inhibitor domain 1', 'bone- and odontoblast-expressed gene 1']"
KAZN,"['kazrin, periplakin interacting protein', 'KIAA1026', 'KAZRIN', 'FLJ43806', 'C1orf196']"
KBTBD11,"['Kelch repeat and BTB domain-containing protein 11', 'KIAA0711', 'KLHDC7C', 'CMLAP']"
KBTBD12,"['Kelch repeat and BTB domain-containing protein 12', 'FLJ46299', 'KLHDC6']"
KBTBD13,"['Kelch repeat and BTB domain-containing protein 13', 'hCG_1645727', 'NEM6', 'nemaline myopathy type 6']"
KBTBD2,"['Kelch repeat and BTB domain-containing protein 2', 'DKFZP566C134', 'BKLHD1', 'KIAA1489']"
KBTBD3,"['Kelch repeat and BTB domain-containing protein 3', 'BKLHD3']"
KBTBD4,"['Kelch repeat and BTB domain-containing protein 4', 'FLJ10450', 'HSPC252', 'BKLHD4']"
KBTBD6,"['Kelch repeat and BTB domain-containing protein 6', 'DKFZp547E1912']"
KBTBD7,"['Kelch repeat and BTB domain-containing protein 7', 'DKFZP434E2318']"
KBTBD8,"['Kelch repeat and BTB domain-containing protein 8', 'TA-KRP', 'KIAA1842']"
KCMF1,"['potassium channel modulatory factor 1', 'DEBT91', 'PCMF', 'DKFZP434L1021', 'ZZZ1', 'FIGC', 'FGF-induced ubiquitin-protein ligase in gastric cancers', 'differentially expressed in branching tubulogenesis 91', 'ZZ-type zinc finger-containing protein 1', 'EC 2.3.2.27']"
KCNA1,"['potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)', 'KV1.1', 'AEMK', 'EA1', 'potassium channel, voltage gated shaker related subfamily A, member 1']"
KCNA10,"['potassium channel, voltage gated shaker related subfamily A, member 10', 'Kv1.8', 'Voltage-gated potassium channel subunit Kv1.8']"
KCNA2,"['potassium channel, voltage gated shaker related subfamily A, member 2', 'KV1.2', 'HUKIV', 'EIEE32', 'EC 3.6.1.27']"
KCNA3,"['potassium channel, voltage gated shaker related subfamily A, member 3', 'KV1.3', 'HPCN3', 'Potassium voltage-gated channel subfamily A member 3', 'HGK5', 'HUKIII']"
KCNA4,"['potassium voltage-gated channel, shaker-related subfamily, member 4-like', 'KV1.4', 'HUKII', 'HPCN2', 'KCNA4L', 'MCIDDS', 'Potassium voltage-gated channel subfamily A member 4', 'Voltage-gated potassium channel subunit Kv1.4', 'potassium channel, voltage gated shaker related subfamily A, member 4']"
KCNA5,"['potassium channel, voltage gated shaker related subfamily A, member 5', 'KV1.5', 'HCK1', 'HPCN1', 'ATFB7', 'Potassium voltage-gated channel subfamily A member 5', 'Voltage-gated potassium channel subunit Kv1.5']"
KCNA6,"['potassium channel, voltage gated shaker related subfamily A, member 6', 'KV1.6', 'HBK2', 'PPP1R96', 'Potassium voltage-gated channel subfamily A member 6']"
KCNA7,"['potassium channel, voltage gated shaker related subfamily A, member 7', 'KV1.7', 'HAK6', 'potassium voltage-gated channel, shaker-related subfamily, member 7']"
KCNAB1,"['potassium voltage-gated channel subfamily A member regulatory beta subunit 1', 'hKvBeta3', 'KCNA1B', 'KV-BETA-1', 'Voltage-gated potassium channel subunit beta-1', 'K(+) channel subunit beta-1', 'EC 1.1.1.-']"
KCNAB2,"['potassium voltage-gated channel, shaker-related subfamily, beta member 2', 'AKR6A5', 'HKvbeta2', 'HKvbeta2.1', 'K(+) channel subunit beta-2', 'KCNA2B', 'EC 1.1.1.-']"
KCNAB3,"['potassium voltage-gated channel, shaker-related subfamily, beta member 3', 'AKR6A9', 'KCNA3.1B', 'K(+) channel subunit beta-3']"
KCNB1,"['potassium voltage-gated channel, Shab-related subfamily, member 1', 'Kv2.1', 'DEE26', 'h-DRK1', 'Potassium voltage-gated channel subfamily B member 1']"
KCNB2,"['potassium channel, voltage gated Shab related subfamily B, member 2', 'KV2.2', 'potassium voltage-gated channel, Shab-related subfamily, member 2']"
KCNC1,"['potassium channel, voltage gated Shaw related subfamily C, member 1', 'KV3.1', 'EPM7', 'NGK2']"
KCNC2,"['potassium channel, voltage gated Shaw related subfamily C, member 2', 'KV3.2', 'Potassium voltage-gated channel subfamily C member 2']"
KCNC3,"['potassium channel, voltage gated Shaw related subfamily C, member 3', 'KV3.3', 'spinocerebellar ataxia 13', 'KSHIIID', 'SCA13']"
KCNC4,"['potassium channel, voltage gated Shaw related subfamily C, member 4', 'KV3.4', 'HKSHIIIC', 'chromosome 1 open reading frame 30', 'C1orf30', 'Voltage-gated potassium channel subunit Kv3.4']"
KCND1,"['potassium channel, voltage gated Shal related subfamily D, member 1', 'KV4.1', 'Potassium voltage-gated channel subfamily D member 1']"
KCND2,"['potassium channel, voltage gated Shal related subfamily D, member 2', 'KV4.2', 'RK5', 'KIAA1044', 'Potassium voltage-gated channel subfamily D member 2']"
KCND3,"['potassium channel, voltage gated Shal related subfamily D, member 3', 'KV4.3', 'KSHIVB', 'spinocerebellar ataxia 19', 'BRGDA9', 'KCND3L', 'SCA19', 'potassium voltage-gated channel, Shal-related subfamily, member 3']"
KCNE1,"['potassium channel, voltage gated subfamily E regulatory beta subunit 1', 'JLNS2', 'LQT2/5', 'Jervell and Lange-Nielsen syndrome 2', 'Long QT syndrome 5', 'IKs producing slow voltage-gated potassium channel subunit beta Mink']"
KCNE2,"['potassium channel, voltage gated subfamily E regulatory beta subunit 2', 'MIRP1', 'LQT5', 'ATFB4', 'Minimum potassium ion channel-related peptide 1']"
KCNE3,"['potassium channel, voltage gated subfamily E regulatory beta subunit 3', 'MiRP2', 'HOKPP', 'BRGDA6', 'Minimum potassium ion channel-related peptide 2']"
KCNE4,"['potassium channel, voltage gated subfamily E regulatory beta subunit 4', 'MIRP3', 'Minimum potassium ion channel-related peptide 3']"
KCNE5,"['potassium channel, voltage gated subfamily E regulatory beta subunit 5', 'KCNE1-like', 'Potassium voltage-gated channel subfamily E member 1-like protein', 'AMME syndrome candidate gene 2 protein', 'AMMECR2 protein']"
KCNF1,"['potassium voltage-gated channel modifier subfamily F member 1', 'KV5.1', 'IK8', 'KCNF']"
KCNG1,"['potassium channel, voltage gated modifier subfamily G, member 1', 'KV6.1', 'kH2', 'KCNG']"
KCNG2,"['potassium channel, voltage gated modifier subfamily G, member 2', 'KV6.2', 'KCNF2']"
KCNG3,"['potassium channel, voltage gated modifier subfamily G, member 3', 'KV10.1']"
KCNG4,"['potassium channel, voltage gated modifier subfamily G, member 4', 'KV6.3', 'KCNG3']"
KCNH1,"['potassium voltage-gated channel, subfamily H (eag-related), member 1', 'Kv10.1', 'h-eag', 'ether-a-go-go 1', 'ether-a-go-go, Drosophila, homolog of', 'TMBTS', 'ZLS1', 'Voltage-gated potassium channel subunit Kv10.1', 'Potassium voltage-gated channel subfamily H member 1']"
KCNH2,"['potassium voltage-gated channel, subfamily H (eag-related), member 2', 'Kv11.1', 'hERG-1', 'long QT syndrome type 2', 'LQT2', 'Eag homolog', 'ether-a-go-go-related potassium channel protein', 'potassium channel, voltage gated eag related subfamily H, member 2']"
KCNH3,"['potassium voltage-gated channel, subfamily H (eag-related), member 3', 'KIAA1282', 'BEC1', 'ELK channel 2', 'ether-a-go-go K(+) channel family member', 'Voltage-gated potassium channel subunit Kv12.2']"
KCNH4,"['potassium voltage-gated channel, subfamily H (eag-related), member 4', 'Kv12.3', 'ELK channel 1', 'BEC2', 'ether-a-go-go K(+) channel family member', 'Voltage-gated potassium channel subunit Kv12.3']"
KCNH5,"['potassium voltage-gated channel, subfamily H (eag-related), member 5', 'Kv10.2', 'ether-a-go-go 2', 'ether-a-go-go-related potassium channel 2', 'potassium channel, voltage gated eag related subfamily H, member 5', 'Potassium voltage-gated channel subfamily H member 5']"
KCNH6,"['potassium voltage-gated channel, subfamily H (eag-related), member 6', 'Kv11.2', 'hERG-2', 'potassium channel, voltage gated eag related subfamily H, member 6', 'Ether-a-go-go-related gene potassium channel 2']"
KCNH7,"['potassium voltage-gated channel, subfamily H (eag-related), member 7', 'Kv11.3', 'hERG-3', 'Ether-a-go-go-related gene potassium channel 3', 'potassium channel, voltage gated eag related subfamily H, member 7']"
KCNH8,"['potassium voltage-gated channel, subfamily H (eag-related), member 8', 'Kv12.1', 'ELK channel 3', 'hElk1', 'Ether-a-go-go-like potassium channel 3', 'Voltage-gated potassium channel subunit Kv12.1']"
KCNIP1,"['potassium voltage-gated channel interacting protein 1', 'KCHIP1', 'VABP']"
KCNIP2,"['Cardiac voltage-gated potassium channel modulatory subunit', 'KCHIP2', 'potassium voltage-gated channel interacting protein 2']"
KCNIP3,"['calsenilin, presenilin-binding protein, EF hand transcription factor', 'KCHIP3', 'Calsenilin', 'A-type potassium channel modulatory protein 3', 'potassium voltage-gated channel interacting protein 3']"
KCNIP4,"['potassium voltage-gated channel interacting protein 4', 'KCHIP4', 'MGC44947']"
KCNJ1,"['potassium inwardly-rectifying channel, subfamily J, member 1', 'KIR1.1', 'ROMK1']"
KCNJ10,"['glial ATP-dependent inwardly rectifying potassium channel KIR4.1', 'BIRK-10', 'KCNJ13-PEN', 'potassium inwardly-rectifying channel, subfamily J, member 10']"
KCNJ11,"['potassium inwardly-rectifying channel, subfamily J, member 11', 'KIR6.2', 'HHF2', 'IKATP', 'MODY13', 'PNDM2']"
KCNJ12,"['potassium inwardly-rectifying channel, subfamily J, inhibitor 1', 'hkir2.2x', 'kcnj12x']"
KCNJ13,"['potassium channel, inwardly rectifying subfamily J, member 13', 'KIR1.4', 'LCA16', 'SVD']"
KCNJ14,"['potassium inwardly-rectifying channel, subfamily J, member 14', 'KIR2.4']"
KCNJ15,"['potassium inwardly-rectifying channel, subfamily J, member 15', 'KIR1.3', 'IRKK', 'KCNJ14']"
KCNJ16,"['potassium inwardly-rectifying channel, subfamily J, member 16', 'KIR5.1', 'BIR9', 'HKTD']"
KCNJ17,"['potassium inwardly-rectifying channel, subfamily J, inhibitor 1', 'KCNJ12', 'Kir2.2v']"
KCNJ18,"['potassium channel, inwardly rectifying subfamily J, member 18', 'KIR2.6', 'TTPP2', 'potassium inwardly-rectifying channel, subfamily J, member 18']"
KCNJ2,"['potassium channel, inwardly rectifying subfamily J, member 2', 'HHBIRK1', 'LQT7', 'ATFB9']"
KCNJ3,"['potassium inwardly-rectifying channel subfamily J member 3 splice variant 1e', 'GIRK-1', 'KGA']"
KCNJ4,"['potassium channel, inwardly rectifying subfamily J, member 4', 'Kir2.3', 'HIRK2']"
KCNJ5,"['potassium channel, inwardly rectifying subfamily J, member 5', 'GIRK-4', 'KATP-1', 'LQT13', 'G protein-activated inward rectifier potassium channel 4', 'Heart KATP channel']"
KCNJ6,"['potassium channel, inwardly rectifying subfamily J, member 6', 'hiGIRK2', 'KATP-2', 'GIRK2', 'GIRK-2', 'KCNJ7', 'KPLBS']"
KCNJ8,"['potassium inwardly-rectifying channel, subfamily J, member 8', 'uKATP-1']"
KCNJ9,"['potassium inwardly-rectifying channel, subfamily J, member 9', 'GIRK-3']"
KCNK1,"['potassium inwardly-rectifying channel, subfamily K, member 1', 'K2p1.1', 'DPK', 'HOHO1', 'KCNO1', 'TWIK-1']"
KCNK10,"['potassium channel, two pore domain subfamily K, member 10', 'K2p10.1', 'TREK-2', 'PPP1R97', 'protein phosphatase 1, regulatory subunit 97', 'potassium two pore domain channel subfamily K member 10', 'Outward rectifying potassium channel protein TREK-2']"
KCNK12,"['Tandem pore domain halothane-inhibited potassium channel 2', 'THIK-2', 'K2p12.1', 'potassium channel, two pore domain subfamily K, member 12']"
KCNK13,"['Tandem pore domain halothane-inhibited potassium channel 1', 'K2P13.1 potassium channel', 'K2p13.1', 'THIK-1', 'potassium channel, two pore domain subfamily K, member 13']"
KCNK15,"['potassium channel, two pore domain subfamily K, member 15', 'K2p15.1', 'dJ781B1.1', 'KT3.3', 'KIAA0237', 'TASK-5', 'Acid-sensitive potassium channel protein TASK-5', 'KCNK11', 'potassium two pore domain channel subfamily K member 15']"
KCNK16,"['potassium channel, two pore domain subfamily K, member 16', 'K2p16.1', 'TALK-1', 'TWIK-related alkaline pH-activated K(+) channel 1']"
KCNK17,"['potassium channel, two pore domain subfamily K, member 17', 'K2p17.1', 'TALK-2', 'TWIK-related alkaline pH-activated K(+) channel 2']"
KCNK18,"['potassium channel, two pore domain subfamily K, member 18', 'K2p18.1', 'TRESK-2', 'TWIK-related spinal cord potassium channel', 'MGR13', 'potassium two pore domain channel subfamily K member 18']"
KCNK2,"['potassium inwardly-rectifying channel, subfamily K, member 2', 'hTREK-1c', 'potassium channel, two pore domain subfamily K, member 2', 'potassium two pore domain channel subfamily K member 2']"
KCNK3,"['potassium inwardly-rectifying channel, subfamily K, member 3', 'K2p3.1', 'TASK-1', 'Acid-sensitive potassium channel protein TASK-1', 'TASK1', 'PPH4', 'potassium channel, two pore domain subfamily K, member 3', 'potassium two pore domain channel subfamily K member 3']"
KCNK4,"['potassium channel, two pore domain subfamily K, member 4', 'K2p4.1', 'TRAAK1', 'FHEIG', 'TWIK-related arachidonic acid-stimulated potassium channel protein', 'potassium two pore domain channel subfamily K member 4']"
KCNK5,"['potassium channel, two pore domain subfamily K, member 5', 'K2p5.1', 'TASK-2', 'Acid-sensitive potassium channel protein TASK-2', 'KCNK5b']"
KCNK6,"['potassium channel, two pore domain subfamily K, member 6', 'K2p6.1', 'TWIK-2', 'KCNK8', 'TWIK-originated sodium similarity sequence']"
KCNK7,"['potassium channel, two pore domain subfamily K, member 7', 'K2p7.1', 'TWIK3']"
KCNK9,"['potassium channel, two pore domain subfamily K, member 9', 'K2p9.1', 'TASK-3', 'Acid-sensitive potassium channel protein TASK-3', 'BIBARS', 'TASK32', 'potassium two pore domain channel subfamily K member 9']"
KCNMA1,"['potassium channel, calcium activated large conductance subfamily M alpha, member 1', 'K(VCA)alpha', 'SLO-ALPHA', 'Calcium-activated potassium channel, subfamily M subunit alpha-1', 'big potassium channel alpha subunit', 'KCNMA', 'CADEDS', 'IEG16', 'LIWAS', 'maxi-K channel HSLO', 'PNKD3', 'Maxi K channel', 'Slo homolog', 'BK channel alpha subunit', 'bA205K10.1', 'Calcium-activated potassium channel subunit alpha-1', 'potassium calcium-activated channel subfamily M alpha 1', 'Slowpoke homolog', 'potassium large conductance calcium-activated channel, subfamily M, alpha member 1', 'KCa1.1', 'stretch-activated Kca channel']"
KCNMB1,"['potassium large conductance calcium-activated channel, subfamily M, beta member 1', 'BK channel beta subunit 1', 'potassium calcium-activated channel subfamily M regulatory beta subunit 1', 'Maxi K channel subunit beta-1', 'K(VCA)beta-1', 'big potassium channel beta subunit 1', 'Calcium-activated potassium channel, subfamily M subunit beta-1']"
KCNMB2,"['potassium large conductance calcium-activated channel, subfamily M, beta member 2', 'potassium calcium-activated channel subfamily M regulatory beta subunit 2', 'Calcium-activated potassium channel, subfamily M subunit beta-2', 'hCG1646471', 'K(VCA)beta-2', 'big potassium channel beta subunit 2', 'Maxi K channel subunit beta-2', 'BK channel beta subunit 2']"
KCNMB3,"['large conductance, voltage and Ca2+ activated potassium channel Maxi K beta 3 subunit', 'potassium calcium-activated channel subfamily M regulatory beta subunit 3', 'BK channel beta subunit 3', 'K(VCA)BETA-3', 'big potassium channel beta subunit 3', 'KCNMB2', 'Maxi K channel subunit beta-3', 'Calcium-activated potassium channel, subfamily M subunit beta-3', 'potassium large conductance calcium-activated channel, subfamily M beta member 3']"
KCNMB4,"['potassium large conductance calcium-activated channel, subfamily M, beta member 4', 'potassium calcium-activated channel subfamily M regulatory beta subunit 4', 'BK channel beta subunit 4', 'Calcium-activated potassium channel, subfamily M subunit beta-4', 'K(VCA)beta-4', 'big potassium channel beta subunit 4', 'Maxi K channel subunit beta-4']"
KCNN1,"['potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 1', 'KCa2.1', 'SKCa 1']"
KCNN2,"['potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 2', 'KCa2.2', 'SKCa 2']"
KCNN3,"['potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 3', 'KCa2.3', 'SKCa 3', 'SKCA3']"
KCNN4,"['potassium channel, calcium activated intermediate/small conductance subfamily N alpha, member 4', 'KCa3.1', 'SKCa 4', 'hIKCa1', 'DHS2', 'putative erythrocyte intermediate conductance calcium-activated potassium Gardos channel']"
KCNQ1,"['IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1', 'KVLQT1', 'KCNA8', 'KQT-like 1', 'JLNS1', 'potassium voltage-gated channel subfamily Q member 1', 'ATFB1', 'RWS', 'LQT1']"
KCNQ2,"['potassium channel, voltage gated KQT-like subfamily Q, member 2', 'KV7.2', 'EBN1', 'HNSPC', 'KCNA11', 'DEE7', 'BFNC', 'KQT-like 2']"
KCNQ3,"['potassium channel, voltage gated KQT-like subfamily Q, member 3', 'KV7.3', 'BFNC2', 'KQT-like 3']"
KCNQ4,"['potassium channel, voltage gated KQT-like subfamily Q, member 4', 'KV7.4', 'DFNA2A', 'potassium channel KQT-like 4']"
KCNQ5,"['potassium channel, voltage gated KQT-like subfamily Q, member 5', 'Kv7.5', 'MRD46', 'KQT-like 5']"
KCNRG,"['putative potassium channel regulatory protein', 'DLTET', 'Protein CLLD4']"
KCNS1,"['potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1', 'Kv9.1']"
KCNS2,"['potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2', 'KV9.2', 'KIAA1144']"
KCNS3,"['potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3', 'KV9.3']"
KCNT1,"['potassium channel, sodium activated subfamily T, member 1', 'KIAA1422', 'Slo2.2', 'EIEE14', 'ENFL5', 'bA100C15.2']"
KCNT2,"['sodium-and chloride-activated ATP-sensitive potassium channel (SLICK)', 'KCa4.2', 'SLO2.1', 'Sequence like an intermediate conductance potassium channel subunit', 'EIEE57']"
KCNU1,"['Calcium-activated potassium channel, subfamily M subunit alpha-3', 'KCNMA3', 'SLO3', 'Slowpoke homolog 3']"
KCNV1,"['potassium channel, voltage gated modifier subfamily V, member 1', 'KV2.3', 'HNKA', 'KCNB3']"
KCNV2,"['potassium channel, voltage gated modifier subfamily V, member 2', 'KV11.1', 'RCD3B']"
KCP,"['cysteine rich BMP regulator 2 (chordin-like)', 'FLJ33365', 'NET67', 'kielin', 'CRIM-2', 'KCP-1']"
KCTD1,"['Potassium channel tetramerization domain-containing protein 1', 'C18orf5']"
KCTD10,"['BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3', 'MSTP028', 'ULR061', 'hBACURD3']"
KCTD11,"['Potassium channel tetramerization domain-containing protein 11', 'REN/KCTD11', 'KCASH1 protein', 'chromosome 17 open reading frame 36', 'C17orf36', 'RING-type E3 ubiquitin transferase subunit KCTD11']"
KCTD12,"['potassium channel tetramerisation domain containing 12', 'KIAA1778', 'PFETIN', 'BTB/POZ domain-containing protein KCTD12', 'C13orf2']"
KCTD13,"['BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1', 'POLDIP1', 'FKSG86', 'TNFAIP1-like protein', 'hBACURD1', 'CTD-2574D22.4', 'BTB/POZ domain-containing protein KCTD13']"
KCTD14,"['potassium channel tetramerisation domain containing 14', 'MGC2376']"
KCTD15,"['Potassium channel tetramerization domain-containing protein 15', 'MGC25497']"
KCTD16,"['Potassium channel tetramerization domain-containing protein 16', 'KIAA1317']"
KCTD17,"['potassium channel tetramerisation domain containing 17', 'FLJ12242']"
