genes,aliases
ABCB8,"['ATP-binding cassette sub-family B member 8, mitochondrial', 'EST328128', 'M-ABC1', 'MITOSUR', 'Mitochondrial potassium channel ATP-binding subunit', 'EC 3.6.3']"
ABCB9,"['ATP-binding cassette, sub-family B (MDR/TAP), member 9', 'EST122234', 'TAPL', 'ABC-type oligopeptide transporter ABCB9', 'ABC transporter 9 protein', 'KIAA1520', 'hABCB9', 'EC 3.6.3.44']"
ABCC1,"['ATP-binding cassette transporter variant ABCC1delta-ex13&14', 'GS-X', 'Glutathione-S-conjugate-translocating ATPase ABCC1', 'ABC29', 'DFNA77', 'MRP1', 'Leukotriene C(4) transporter', 'EC 3.6.3.44']"
ABCC10,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 10', 'EC 7.6.2.3', 'SIMRP7', 'Multidrug resistance-associated protein 7', 'EC 7.6.2.2']"
ABCC11,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 11', 'MRP8', 'EWWD', 'Multidrug resistance-associated protein 8', 'EC 7.6.2.2']"
ABCC12,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 12', 'MRP9', 'Multidrug resistance-associated protein 9']"
ABCC2,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 2', 'CMRP', 'CMOAT', 'Canalicular multispecific organic anion transporter 1', 'ABC30', 'CMOAT1', 'Multidrug resistance-associated protein 2', 'EC 7.6.2.-']"
ABCC3,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 3', 'MLP2', 'CMOAT2', 'EST90757', 'Canalicular multispecific organic anion transporter 2', 'ABC31', 'canicular multispecific organic anion transporter', 'Multi-specific organic anion transporter D', 'EC 3.6.3.44']"
ABCC4,"['bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)', 'MRP4', 'EST170205', 'MOAT-B', 'canalicular multispecific organic anion transporter (ABC superfamily)', 'Multi-specific organic anion transporter B', 'EC 7.6.2.-']"
ABCC5,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 5', 'MRP5', 'EST277145', 'MOAT-C', 'pABC11', 'Multi-specific organic anion transporter C', 'canalicular multispecific organic anion transporter C', 'EC 7.6.2.-']"
ABCC6,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 6', 'MLP1', 'EST349056', 'URG7 protein', 'pseudoxanthoma elasticum', 'ABC34', 'GACI2', 'MOAT-E', 'PXE1', 'Multidrug resistance-associated protein 6', 'Anthracycline resistance-associated protein', 'Multi-specific organic anion transporter E', 'EC 7.6.2.-']"
ABCC8,"['ATP-binding cassette, sub-family C (CFTR/MRP), member 8', 'HRINS', 'SUR1delta2', 'MRP8', 'ABC36', 'HHF1', 'PNDM3', 'sulfonylurea receptor (hyperinsulinemia)']"
