"","GSM468603.CEL","GSM468604.CEL","GSM468605.CEL","GSM468606.CEL","GSM468607.CEL","GSM468608.CEL","GSM468609.CEL","GSM468610.CEL","GSM468611.CEL","GSM468612.CEL","GSM468613.CEL","GSM468614.CEL","GSM468615.CEL","GSM468616.CEL","GSM468617.CEL","GSM468618.CEL","GSM468619.CEL","GSM468620.CEL","GSM468621.CEL","GSM468622.CEL","GSM468623.CEL"
"SMIM10L1",6.21831995092003,5.83319765542858,6.23080760931454,6.30212597914399,5.69899209262528,5.99369422496609,6.06996708328214,5.82528950785671,6.28014971410061,5.88925796542334,6.32196372448794,6.0225691759606,6.11463308412299,5.84989394806208,6.07522119030413,6.03091079253322,6.35678244884057,6.12355083689139,6.03091079253322,5.73661908946837,6.18941495597933
"CCDC152",7.80431483021207,7.9366256963357,7.983750274625,7.72725786926625,7.96275250516202,7.9138175018953,7.49846940109201,7.83798461345462,7.83018741228907,7.87792725744295,7.83018741228907,8.03377755115735,7.74788575495668,7.83018741228907,7.91708210103643,8.09203053447008,7.75880472946594,7.82140623008521,7.61445310435976,7.29378391353144,7.39028732025902
"HDAC6",7.82985969411301,8.11130901745626,7.94417283945604,8.15068145860088,7.81556603802172,8.3765163468805,7.60487583263646,8.04674439830196,7.74385603455871,7.99303087402847,7.99974209288846,8.17648325295133,7.75664666946683,7.68684699629677,7.60568525606497,7.7067071556992,8.044962340703,8.06515161637065,8.03685969850389,7.89430627408769,7.88730448371866
"SPMIP1",3.59493363603588,3.50382001387393,3.27830310124864,3.46379621374977,3.55340216141421,3.36661458484828,3.43944920158635,3.4341263777273,3.40957120794735,3.41404028519579,3.36912658053415,3.08751081960393,3.50951643266082,3.38067155056918,3.15485976244502,3.36912658053415,3.33152798366163,3.33129777004904,3.44551932501717,3.38067155056918,3.32354808671583
"LRRC69",5.01792969570911,4.69439700252778,4.67422038762932,5.3139232045105,4.57862194976094,4.64195956296606,4.25081468570457,4.27775073218351,4.50298197354123,4.32752903368545,4.11557355658632,4.1822275056461,4.53304426242362,4.47745477985124,4.91970459399015,4.70025763789541,4.56266079428563,4.95799808534433,4.41208718770351,3.89889078023692,4.46384333948045
"EFCAB10",3.76548017045596,3.92731515767645,3.63222640404519,3.19986545099907,3.61846932060482,3.64188642978143,3.79694172849557,3.59037106704792,3.55382578144648,3.48544136818125,3.55162424288769,3.66398881887651,3.64188642978143,3.77399954121795,3.68813493097013,3.6595689571935,3.59568782090706,3.71646402075126,3.64188642978143,3.52886129831427,3.71029350101369
"SYCE1L",6.50029152684823,6.76917606409176,6.02103491833543,6.63403823645991,6.45135141763319,7.15373444519772,6.27788413102873,6.7607821481987,6.10070282745175,6.69649667314652,6.91727943703983,7.28456618995759,6.30108314950794,6.91857567395542,6.25400866696841,6.43807786508708,6.73692153009134,7.15219916984813,6.70073299585668,7.04568438542836,6.88796523673134
"ZNF316",5.80363072209399,6.064855524262,5.9376404155972,5.87485761413095,6.13201909442996,6.065992941331,5.97045502353098,6.10366185265247,5.74016568776651,6.12822388682684,6.07044746981005,5.95328621686516,5.97417152437315,6.27814963299264,5.87715264974036,6.14451888132461,5.76165951978766,5.78738479020462,5.90212803005968,5.70916081983077,6.14618301134922
"TSTD1",7.41985946997377,7.533006085133,7.25785431111766,7.0370601893411,7.60934613880045,7.23128858469761,7.32666019344967,7.53116185615854,7.27586925015501,7.45781159526522,7.30608625443196,7.19688382078659,7.46742756513686,7.41907293851846,7.3090863259402,7.46799121938927,7.23960809244759,7.27043169498822,6.47292782203213,6.19206434037542,6.13451781993215
"NEMP2",3.63973791699642,3.59061415453493,3.94920490645669,3.86524054486757,3.79493063350871,3.65499719004064,3.70030331068897,3.77430954297739,3.6255823200405,3.68828843921027,3.73450795260839,3.65216531022041,3.67005362151859,3.85030057203861,3.82416278063012,3.87058593397378,3.71169376195199,3.8394154638537,3.48796755100296,4.1673528872906,3.75604335070536
"ARMCX4",7.45883939250858,7.57650997535515,7.27879857067785,7.93794607735743,6.92295159954462,8.02793379658797,7.45093660796623,7.59602608568511,7.09247721909127,7.07475838303162,7.7401611425792,8.28954380784578,7.4413337276979,7.8058522964553,7.46939325332151,7.24778320325679,8.46260375040125,8.51806371319054,7.56363409040024,7.56356706475436,7.67580216674497
"PET100",9.87564251595688,9.83487320246447,9.73302273559938,9.79018714017169,9.99392457395886,9.88507431839639,9.84735886548706,9.70728711907062,9.72608053926257,9.77531637440661,9.83181366105509,9.86388946064702,9.93054283990129,9.95463447479787,9.81670041891699,9.92570921573965,9.91125378468802,9.68090692715652,9.71167174907966,9.63084193398419,9.51177716515625
"ZNF717",5.14802163613047,5.51541396018488,5.06411558413089,5.39662631895837,5.03214096686478,5.77589953698187,5.27946606319899,5.40718807080694,5.04271206069984,4.87000758707131,4.97521806525521,5.71912973418766,5.06058713656677,5.61242210724813,5.1325137219289,5.17452297836939,5.72434946317625,5.9149874904648,5.49291148579705,5.64591787472181,5.4631610448286
"FOXO6",5.27794183808281,5.27913359330722,5.60897717943318,5.43554046328734,5.31074706459838,5.3805076282306,5.49045671834905,5.12885712758542,5.49239314511218,5.28571067964836,5.5688045900171,5.37264974151319,5.24074768920278,5.19873654627032,5.35831758460436,4.97188401109281,5.1048478268291,5.25942275274338,5.5846855177982,5.54264742913977,5.49924283977772
"KRTAP4-9",3.3449464099525,3.28729502210966,3.28527948247294,3.48015238633103,3.69348367468798,3.30443145542749,3.23537317291796,3.29172639329264,3.26474203750212,3.36734591980008,3.26801982784986,3.12911017889354,3.50338784025581,3.39822025769908,3.38074769762543,3.53387082949001,3.27658763608575,3.22624867489074,3.33152798366163,3.30099156721285,3.42160071265202
"XNDC1N",5.63023457246454,5.36921706776573,5.24691844927083,5.172340858301,5.27061347006706,5.80715069247884,5.24691844927083,5.26392743847992,5.31458345256243,4.94088442536387,5.06454458181747,5.18618165557374,5.40455830500207,5.45504438158532,5.27835268523478,5.2407639887412,5.1766383712631,5.02285837374421,5.13578982320646,4.94415554163483,4.97182031664607
"CD24",5.82633540419757,6.39294323756881,5.50309861619054,5.72079696889739,7.2118891775763,7.3874179477289,5.77947387560641,6.89195090522511,6.16902314815971,7.69021516908978,5.92194420107612,7.68051001825097,6.85587353701206,8.13858607347896,6.77855304419632,8.23110483272119,7.51082595639553,8.55751640504233,5.10700297828898,5.00251900156161,6.56988387023687
"HDAC5",7.06697990313737,7.35093505759381,7.42810715967343,6.56336088193277,7.62209224161196,6.63272198095852,6.87975187152395,7.31784201807037,7.21826408881556,7.63371655287855,6.23239172212325,6.43123101947983,7.25826209299909,7.63365917814535,7.85636907289098,8.04816440808195,7.5800618093052,7.13383661568115,7.36233266108631,7.52003466806684,7.81974357176027
"PDCD6IP",7.89766435202085,7.66096087929092,8.55751640504233,8.48368043886602,8.4987845350585,8.01012770199887,7.76093027817015,7.65348369039939,8.41144631029433,8.50218616204162,8.16087070222571,8.18795033971675,8.04362339137474,7.90753319584882,8.67330296138099,8.6182305728048,8.70702810695683,8.22301625924198,8.35519806296901,8.05901591142996,8.34606977435398
"PDCD6",6.20525595487789,5.82731780842083,6.42976493096031,6.01676782862849,6.08364411178991,5.98356391552698,6.14808069660608,6.45435704582861,6.51021116407771,6.8138598166932,6.6731249932167,6.8367668881302,6.33593553939737,6.28014631534107,6.70178602481534,6.51439831798134,6.55908998690895,6.10496536275024,5.38200341859272,5.80922441985982,5.76645114836247
"BCL2L10",3.28600076631154,3.38425123211427,3.24873765944395,3.59054525358967,3.25925996404268,3.70704262168033,3.27582090811998,3.37253000583342,3.28785552940427,3.34352332867706,3.37253000583342,3.55788839411866,3.39730587517824,3.34385341972289,3.33152798366163,3.49477547636218,3.27636429321356,3.51371852895482,3.53737764358587,3.53496376021819,3.35142759348179
"ERICH4",3.833011949453,3.40738843700114,3.90660247646933,3.65448792889569,3.68928011329684,3.63041824791189,3.66931510281646,3.60444021851236,3.85615468636476,3.3556161539118,3.7984743209612,3.48695024571526,3.75413347851431,3.52870969394241,3.73581415974236,3.70458671751575,3.40213789310497,3.62642913356934,3.66931510281646,3.60806296149514,3.85359068369652
"BCL2L11",4.57922792207426,4.65169628163833,4.89326105904555,4.30434557383442,5.57586270426771,4.35629248705294,5.9981404613323,5.64970743652159,5.62790143730619,5.85104757355456,4.97757717974584,4.94573166399305,5.89851776542157,5.72764604919216,5.92639974024498,5.93771725135325,4.67967865836663,4.7415318414889,5.71429707468086,5.55653013878417,5.7159572944565
"SH2B3",9.57049175725625,9.79185833247478,10.1911346687828,9.75306063634899,10.4490738089959,9.64007504975588,9.7149222126054,9.90547859244813,10.1775902608858,10.5246411528005,9.70336856438265,9.77746650104556,9.23802782465313,9.50808139842323,9.75306063634899,9.95226995060096,9.37255821323422,9.43701278158845,9.82237480355198,9.91667168434815,9.7448089774971
"CDH4",4.00821049187449,3.5616296411611,4.1937084742814,4.15114565744722,3.69262671968989,3.6697065967869,3.82242838053749,3.71007134025963,3.72340528757221,3.64836602402054,3.69107480243762,3.76791098223982,3.66413373932252,3.81337059213472,3.77872605423921,3.86274448136435,3.92802184890319,3.44096088139934,3.85074287703746,3.87990360490121,4.00508516526384
