"","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"SMARCAD1",9.82324327502392,9.78610785646512,10.0463014543221,9.85286816312788,9.95494165632603,9.93195881642299,9.82324327502392,9.78610785646512,10.0463014543221,9.85286816312788,9.95494165632603,9.93195881642299
"DHX33",9.99775268433965,9.7997148312701,10.0113358049211,10.0253808850798,9.88502281693855,10.0158757896434,9.99775268433965,9.7997148312701,10.0113358049211,10.0253808850798,9.88502281693855,10.0158757896434
"PSMB4",12.5035182877374,12.5488040148468,12.5426812805635,12.5734078316527,12.5190336187826,12.4154110296268,12.5035182877374,12.5488040148468,12.5426812805635,12.5734078316527,12.5190336187826,12.4154110296268
"SEMA3G",8.01680819368771,8.14534548252514,7.79636231232053,8.17228178292884,7.97259985107238,8.13471915311077,8.01680819368771,8.14534548252514,7.79636231232053,8.17228178292884,7.97259985107238,8.13471915311077
"MCCC1",8.02105132521352,8.03799002444551,8.27148112168866,7.97943311135369,7.89838320145399,8.02519701239896,8.02105132521352,8.03799002444551,8.27148112168866,7.97943311135369,7.89838320145399,8.02519701239896
"LXN",8.69879006025891,9.48219448869523,9.33790997945177,8.9832460907007,9.42325937767606,9.2215282974456,8.69879006025891,9.48219448869523,9.33790997945177,8.9832460907007,9.42325937767606,9.2215282974456
"NCLN",10.4820298983524,10.3054537431431,10.250933457481,10.5018547887331,10.3214349205488,10.3500355732842,10.4820298983524,10.3054537431431,10.250933457481,10.5018547887331,10.3214349205488,10.3500355732842
"SPPL2B",9.63272576050977,9.67165861609737,9.62676698190729,9.65128230315318,9.66149251930569,9.69798816821773,9.63272576050977,9.67165861609737,9.62676698190729,9.65128230315318,9.66149251930569,9.69798816821773
"FEM1C",10.3584505164318,10.2731872545796,10.3985870778246,10.4063937320135,10.3414905518878,10.3355673409084,10.3584505164318,10.2731872545796,10.3985870778246,10.4063937320135,10.3414905518878,10.3355673409084
"PSMB5",12.1184879092308,12.1830223116557,12.0911730669838,12.3602235980752,12.1999271809148,12.3480943233127,12.1184879092308,12.1830223116557,12.0911730669838,12.3602235980752,12.1999271809148,12.3480943233127
