"","HUVEC_scr_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL"
"ESRRG",3.65223202739086,3.48815733028715,3.81784407556397,4.02516725737298,3.66469654908366,3.85305699959627,3.71239467960421,3.47482563917703,3.7517195824388,3.94650501074048,3.72034906329613,3.94742888244195
"ETF1",9.42780442821061,9.3425442052244,9.39193935837817,9.20950668635284,9.14806587947491,9.18215070127559,9.25392524613607,9.24667457949786,9.3217573970917,9.10093382355406,9.21522909030582,9.2035907620862
"ETFA",8.86463890410142,8.86736247388662,8.8216788809451,8.7069317243362,8.78051115194761,8.93599061966657,8.92661831296349,8.90920398210822,8.86563452550274,8.91110050821693,8.91819586576385,9.02457483084443
"ETFB",6.92427199933812,7.00089342675232,6.92736533210144,7.16549791743239,7.20424316669367,7.13003419969712,7.00676575688702,7.11148517737968,7.07585916873933,7.2359894034852,7.28554670257381,7.00258919124348
"ALAS1",9.28422796333091,9.21701652425356,9.25389656538122,9.1790682388925,9.22814771818584,9.17820813882214,9.43387129613043,9.3541246321752,9.44583677854074,9.41832220302091,9.40390291910363,9.38229239228078
"ETFDH",8.06299054096586,7.93113513222301,7.83123871418884,8.02528433033997,7.83756172866493,7.9701145257843,7.82568734785415,7.97618819518829,7.97387877068331,7.83476578682709,7.832553094389,7.7909476914127
"ETS1",8.87218869772863,8.87333778352586,8.99941059968511,8.63028817994429,8.62576123653487,8.59700741318504,8.73131156464035,8.78510169893239,8.90686569959847,8.6306885010466,8.56280984310771,8.51459551176389
"ETS2",10.4147793341099,10.3170152740271,10.3814660115431,9.55872956669115,9.49704775297883,9.58870386950299,9.99879013357677,9.97591948141476,9.97784823065293,9.55455625933755,9.61387972748979,9.649030437736
"ETV1",6.97176830557678,7.03949673864785,7.17642966164254,6.94956768190246,7.18682966550698,6.9879343034777,7.30860860053579,7.33000253172607,7.34117710598717,7.28906956398449,7.24267452452826,7.30984298931218
"ETV2",5.23385571504206,5.5607811499929,5.39975316972706,5.44029677515873,5.55887600107968,5.27175433527989,5.31587788921309,5.14079422246251,5.36499771382697,5.36715089550001,5.56554744116929,5.3555708653692
