"gene","X1.4hr.Con.1.y","X2.4hr.CA.1","X3.4hr.ABA.1","X4.4hr.ABTAA.1","X5.4hr.Con.2","X6.4hr.CA1.2","X7.4hr.ABA.2","X8.4hr.ABTAA.2"
"TOP2B",19.247,18.2878,17.5134,17.6663,17.4471,14.9206,18.2194,18.0182
"TOP3A",4.72938,4.19235,4.63199,4.54564,3.6954,4.25589,4.17352,3.95561
"TOP3B",13.3546,13.4315,11.9786,13.9848,14.8271,14.5983,13.844,12.3212
"TOPBP1",9.22688,8.89398,9.65671,8.14943,7.62014,8.23011,10.0389,8.56504
"TOPORS",6.79114,6.25416,6.14553,6.16171,5.97372,5.01315,5.3865,6.56126
"TOR1A",36.6197,33.7787,38.313,34.1171,36.385,31.4958,35.8793,33.3088
"TOR1AIP1",18.5809,17.8508,18.7187,17.5747,16.7353,15.7231,19.7594,18.7544
"TOR1AIP2",10.95,8.4742,8.94489,7.91556,9.30694,7.90112,8.86625,9.79466
"TOR1B",5.84547,4.65238,4.93465,7.05137,5.72437,5.06212,4.99232,6.27347
"TOR2A",17.983,17.9324,15.4345,19.0803,20.0321,20.8188,15.7136,16.9215
"TOR3A",6.92324,6.92609,5.79913,7.57457,7.03376,8.31049,5.78664,7.16422
"TOX",27.3192,32.0268,24.7912,32.555,24.1702,28.9657,26.7392,31.7134
"TOX2",28.0678,32.8057,27.4307,34.4185,37.2755,40.4333,28.0233,31.4339
"TOX3",0,0,0,0,0,0,0,0
"TOX4",36.5246,34.3847,37.5961,35.3792,33.2446,35.2728,34.5399,36.3196
"TP53",51.0169,51.1377,48.4039,49.9295,53.6999,50.1042,47.2221,46.0816
"TP53AIP1",0,0,0,0,0,0,0,0
"TP53BP1",10.9753,10.902,11.7672,11.0442,12.0341,11.1962,12.4195,10.6324
"TP53BP2",19.9633,23.0902,23.409,22.9389,23.1899,21.3915,24.1815,23.0685
"TP53I11",126.509,150.558,132.97,182.178,158.437,181.461,137.496,155.972
"TP53I13",10.3035,7.08887,10.4885,10.1783,11.7405,11.9322,9.39754,8.07397
"TP53INP1",61.073,66.5808,56.0936,56.6502,59.1921,59.1016,60.7313,74.8622
"TP53INP2",46.2348,38.9006,51.1849,43.6019,48.1414,46.5661,49.1808,39.8245
"TP53TG5",0.964508,0.345141,0.247862,0.0756531,0.0852688,0.392975,0,0.245014
"TP63",0.0462681,0,0,0.025788,0.0146061,0.013796,0,0.0280798
"TP73",0.0540226,0.0693586,0.0260269,0.104873,0.0842659,0.110153,0.0747464,0.0995784
"TPBG",3.04222,3.60516,3.41506,4.01189,3.86902,3.9595,3.59987,3.67074
"TPCN1",4.81378,5.74169,4.20264,6.1782,5.66437,6.85625,5.15407,6.29415
"TPCN2",2.42071,2.55606,2.59553,2.42592,2.99326,2.67455,3.24482,2.99309
"TPD52",4.39537,3.65402,3.77731,3.0136,4.4551,3.18939,3.42256,3.13277
"TPD52L1",0.116589,0.125059,0,0.272052,0.12281,0.114179,0.259089,0.35344
"TPD52L2",71.4867,69.9664,68.0311,67.7338,67.525,73.2714,63.3256,63.7904
"TPD52L3",0,0,0,0,0,0,0,0
"TPGS1",1.84809,2.86436,2.80298,2.11623,2.60333,2.67956,2.20729,2.91201
"TPGS2",238.755,224.374,257.285,236.1,228.163,210.721,250.55,240.087
"TPH1",0.307296,0.205875,0.311379,0.106747,0.362071,0.150681,0.213033,0.115867
"TPH2",0,0,0,0,0,0,0,0
"TPI1",289.811,278.784,268.945,291.489,264.134,279.093,247.369,281.537
"TPK1",10.0436,19.9115,6.29128,9.09827,5.72045,10.3456,9.69481,10.0329
"TPM1",131.359,109.155,143.739,119.921,133.037,97.6838,133.998,109.576
"TPM2",334.135,332.585,296.19,322.499,325.675,349.24,291.09,308.21
"TPM3",245.825,253.365,253.106,258.963,225.255,237.273,227.164,244.179
"TPM4",381.138,373.06,385.701,339.985,360.692,370.566,363.658,355.04
"TPMT",3.40602,3.97577,3.09143,2.77684,1.85716,3.14241,2.3332,3.44719
"TPO",0,0,0,0,0,0,0,0
"TPP1",192.426,184.693,184.366,193.244,174.723,178.477,201.918,192.335
"TPP2",9.83108,7.90951,10.1431,7.34602,8.6706,7.24197,9.31614,8.67999
"TPPP",0.0528581,0.0905724,0.116725,0.125991,0.0439347,0.14542,0.0701925,0.126689
"TPPP2",0,0,0,0,0,0,0,0
"TPPP3",0.0745084,0,0.0764378,0.559786,0,0.145789,0,0.0755848
"TPR",27.2123,25.4486,26.0807,24.2406,22.5693,24.3326,30.1813,25.4208
"TPRA1",13.5443,14.188,14.0806,16.5847,13.978,14.6682,11.6905,12.5396
"TPRG1",0,0,0.0538555,0,0.0557242,0,0,0.0356967
"TPRG1L",25.5127,22.5363,26.0564,21.4769,25.5728,22.9971,24.3527,21.2196
"TPRKB",7.29721,4.56495,4.82787,3.61295,3.81277,4.59221,3.20399,3.89346
"TPRN",2.89844,2.96937,2.79576,3.28128,2.97123,3.66853,2.50719,2.26799
"TPRX1",0,0,0,0,0,0,0,0
"TPSAB1",0,0,0,0,0,0,0,0
"TPSB2",0,0,0,0,0,0,0,0
"TPSD1",0,0,0,0,0,0,0,0
"TPSG1",0,0,0,0,0,0,0,0
"TPST1",15.2785,10.6369,19.0186,13.2777,14.2279,11.3925,16.4767,11.7609
"TPST2",32.6506,40.1217,37.7246,32.1546,32.3901,35.5007,37.5703,38.1757
"TPT1",6192.39,6135.05,6216.13,6682.54,5769.11,5354.74,5030.51,5851.82
"TPTE",0,0,0,0,0,0,0,0
"TPTE2",0,0,0,0,0.0455617,0,0,0
"TPX2",57.8857,64.1234,72.2233,66.5251,56.4044,57.5542,73.7712,61.9486
"TRA2A",11.8829,11.6827,11.2716,13.5413,11.6507,9.83523,11.0811,10.6147
"TRA2B",13.1376,13.3443,13.6952,13.0337,12.6872,11.6124,12.8039,12.8408
"TRABD",7.53316,6.61487,5.73918,6.98573,7.58903,8.16001,7.23301,7.34392
"TRADD",1.5626,1.61373,3.11337,3.2145,2.93423,3.21041,2.62383,3.95991
"TRAF1",0.463938,0.150216,0.262306,0.331008,0.354198,0.327549,0.660296,0.195201
"TRAF2",3.24646,2.77783,2.94681,3.24633,4.04662,3.30376,3.46721,2.42151
"TRAF3",3.72183,3.13414,3.52892,3.10074,3.66929,3.30989,3.84439,3.19956
"TRAF3IP1",2.7949,2.44307,3.00098,2.26529,2.47243,2.46767,2.92123,2.75415
"TRAF3IP2",1.491,1.50117,0.962216,0.793203,0.892499,1.09258,1.45375,2.65927
"TRAF3IP3",0.0905284,0,0,0.027867,0.0630587,0,0,0
"TRAF4",20.0058,20.3468,19.7271,23.434,24.5123,21.5836,19.4877,19.4654
"TRAF5",2.88555,3.8534,3.92229,4.09459,3.19938,3.0738,3.64183,3.80805
"TRAF6",3.55745,3.76808,3.62953,3.85382,4.32148,3.25862,4.14767,4.94143
"TRAF7",62.3009,60.2584,61.8858,79.2972,70.4421,71.4062,63.891,62.4928
"TRAFD1",12.274,11.5779,11.1862,12.3809,12.5923,10.9808,10.9382,11.6907
"TRAIP",4.54497,5.01702,4.06707,4.91158,3.61921,4.98749,4.61613,4.33769
"TRAK1",33.4095,31.6355,34.7704,35.2939,36.3225,33.889,35.2341,34.6469
"TRAK2",13.1151,12.0585,15.3341,11.5836,13.9605,10.761,13.4041,14.3153
"TRAM1",29.6168,30.3472,29.7557,25.9515,26.6121,25.9314,27.9295,31.3735
"TRAM1L1",0.271293,0.763254,0.205858,0.59585,0.496589,0.465737,0.300805,0.238419
"TRAM2",134.519,142.414,156.509,148.081,162.041,153.923,170.652,139.926
"TRANK1",1.90299,1.67209,1.9564,2.27053,1.78391,2.07283,1.82232,1.98828
"TRAP1",42.5512,50.6736,42.3079,43.9591,42.6189,48.2101,38.2343,38.5231
"TRAPPC1",285.641,256.15,269.598,264.181,239.555,261.693,271.741,268.232
"TRAPPC10",11.0168,9.3769,11.9334,9.46964,11.0872,10.1484,11.2633,10.1341
"TRAPPC11",12.6833,10.9599,13.5741,13.1341,12.5981,11.1768,14.0554,12.8812
"TRAPPC12",8.60678,7.69248,6.90845,10.1077,7.65258,7.37609,8.55821,6.62135
"TRAPPC2",2.82746,2.0243,2.57976,2.31023,1.91994,2.31945,1.98657,2.4228
"TRAPPC2L",68.8835,67.3318,65.0808,53.7968,55.5648,56.575,49.0558,64.1804
